path,width,height,format_or_mode,alpha,purpose
08_hud/controls/button_turbo_normal.png,256,256,RGBA,yes,button turbo normal
08_hud/desktop/hud_master_blank_1440x180.png,1440,180,RGBA,yes,hud master blank 1440x180
08_hud/desktop/hud_master_blank_2048x256.png,2048,256,RGBA,yes,hud master blank 2048x256
08_hud/desktop/hud_rail_full_width.png,1440,130,RGBA,yes,hud rail full width
08_hud/mobile/hud_mobile_master_blank_1080x480.png,1080,480,RGBA,yes,hud mobile master blank 1080x480
08_hud/modals/autoplay_modal.png,1000,760,RGBA,yes,autoplay modal
08_hud/modals/bonus_buy_modal_backplate.png,1320,900,RGBA,yes,bonus buy modal backplate
08_hud/modals/confirm_modal.png,900,520,RGBA,yes,confirm modal
08_hud/modals/error_modal.png,1000,600,RGBA,yes,error modal
08_hud/modals/paytable_modal.png,1320,980,RGBA,yes,paytable modal
08_hud/modals/settings_modal.png,1000,760,RGBA,yes,settings modal
08_hud/panels/panel_balance_blank.png,184,100,RGBA,yes,panel balance blank
08_hud/panels/panel_bet_blank.png,90,100,RGBA,yes,panel bet blank
08_hud/panels/panel_win_blank.png,202,100,RGBA,yes,panel win blank
08_hud/spin/spin_autoplay.png,512,512,RGBA,yes,spin autoplay
08_hud/spin/spin_disabled.png,512,512,RGBA,yes,spin disabled
08_hud/spin/spin_hover.png,512,512,RGBA,yes,spin hover
08_hud/spin/spin_idle.png,512,512,RGBA,yes,spin idle
08_hud/spin/spin_pressed.png,512,512,RGBA,yes,spin pressed
08_hud/spin/spin_stop.png,512,512,RGBA,yes,spin stop
09_modes/ante/ante_toggle_disabled.png,720,250,RGBA,yes,ante toggle disabled
09_modes/ante/ante_toggle_off.png,720,250,RGBA,yes,ante toggle off
09_modes/ante/ante_toggle_on.png,720,250,RGBA,yes,ante toggle on
09_modes/banners/banner_ante.png,1024,420,RGBA,yes,banner ante
09_modes/banners/banner_bonus.png,1024,420,RGBA,yes,banner bonus
09_modes/banners/banner_boosted.png,1024,420,RGBA,yes,banner boosted
09_modes/banners/banner_hidden.png,1024,420,RGBA,yes,banner hidden
09_modes/banners/banner_maxzero.png,1024,420,RGBA,yes,banner maxzero
09_modes/banners/banner_super.png,1024,420,RGBA,yes,banner super
09_modes/boosted/boosted_multiplier_meter.png,900,300,RGBA,yes,boosted multiplier meter
09_modes/counters/panel_bonus_win.png,768,360,RGBA,yes,panel bonus win
09_modes/counters/panel_counter.png,768,360,RGBA,yes,panel counter
09_modes/counters/panel_current_multiplier.png,768,360,RGBA,yes,panel current multiplier
09_modes/counters/panel_spins_left.png,768,360,RGBA,yes,panel spins left
09_modes/counters/panel_total_multiplier.png,768,360,RGBA,yes,panel total multiplier
09_modes/counters/panel_total_win.png,768,360,RGBA,yes,panel total win
09_modes/feature_cards/card_ante.png,512,700,RGBA,yes,card ante
09_modes/feature_cards/card_bonus.png,512,700,RGBA,yes,card bonus
09_modes/feature_cards/card_boosted.png,512,700,RGBA,yes,card boosted
